	k_rad(cm3s-1)	peq_min(cm-3)	k_capture(s-1)	k_emission(s-1)	k_deep(s-1)	k_nr_eff(s-1)	k_bulk_eff(s-1)	S_1(cm s-1)	S_2(cm s-1)	S_lower(cm s-1)	S_upper(cm s-1)	Mobility_values(cm2V-1s-1)	Diffusion_length(um)	LL	sigma_LL_factor
3113	7.277776947200918e-11	2026483029820975.5	1258181.6983725573	752516.5774750133	1625.3822571231303	1621.8836333507818	325472.2151074284	10.377632981297085	1.8085405941070218	1.8085405941070218	10.377632981297085	0.4188348189408497	1.7994604437137984	0.4550488872263882	2.0857554600945876
3114	7.192516979679433e-11	2026483029820975.5	1355724.0032578083	790478.0785951652	1529.1447614100512	1526.1957361829	321582.5845072045	10.377632981297085	1.8085405941070218	1.8085405941070218	10.377632981297085	0.39589987111129116	1.760047117806435	0.4427223701217454	2.1254155320579216
3115	7.207639364374773e-11	2026483029820975.5	1341055.7224389329	783577.0933546099	1551.762788182699	1548.6993615311462	322278.0119294476	10.463330789429905	1.8085405941070218	1.8085405941070218	10.463330789429905	0.43544384481470405	1.8438628524356122	0.44371262807641315	2.1254155320579216
3116	7.232211439035677e-11	2026483029820975.5	1251258.922793343	775394.5782631745	1480.4699338274138	1477.651976162585	323300.38559581933	10.463330789429905	1.8085405941070218	1.8085405941070218	10.463330789429905	0.38082506278857414	1.7216208938844408	0.4693643410659455	2.06371393267824
3117	7.264685832471675e-11	2026483029820975.5	1339250.0062135172	783902.7303633937	1597.2480753178547	1594.0040747649905	324861.80026709544	10.463330789429905	1.8085405941070218	1.8085405941070218	10.463330789429905	0.38886017086226443	1.7355026565780916	0.46699935784791224	2.06371393267824
3118	7.271113187187517e-11	2026483029820975.5	1283590.0250125462	779372.500353586	1582.1677260794484	1578.9662944549557	325132.7702842664	10.463330789429905	1.8085405941070218	1.8085405941070218	10.463330789429905	0.3931050506575855	1.7442222187388752	0.47103844440968	2.052310399437246
3119	7.243061590259178e-11	2026483029820975.5	1334421.5832410196	770218.6331220071	1612.349772102858	1608.985648979413	323914.53498224856	10.463330789429905	1.8085405941070218	1.8085405941070218	10.463330789429905	0.4146540974220623	1.7947569227601143	0.46398418340921593	2.0686601356805077
3120	7.249095957534367e-11	2044989194687832.0	1360028.3559570867	782770.1232188394	1620.618530450497	1617.2741787567725	325532.8735977418	10.463330789429905	1.692357722332717	1.692357722332717	10.463330789429905	0.4224643353613249	1.8070720744833488	0.44479646333437733	2.1131298011192627
3121	7.41481582443264e-11	2097252152272373.8	1342922.6248008513	778617.1458984492	1627.5402088495941	1624.1493741857255	336819.90869327163	10.463330789429905	1.692357722332717	1.692357722332717	10.463330789429905	0.4187678675574766	1.768746824424195	0.44670434987500984	2.1131298011192627
3122	7.453886236353777e-11	2097252152272373.8	1263347.0090571651	783521.7959173699	1601.6121093994693	1598.3490383344777	338560.33380400017	10.463330789429905	1.692357722332717	1.692357722332717	10.463330789429905	0.4158719307663589	1.75808408310686	0.4486098510057156	2.1131298011192627
